country,language,percent
South Korea,Korean,100.0
Egypt,Arabic,100.0
Bangladesh,Bengali; Bangla,100.0
Venezuela,Spanish; Castilian,99.91596638655464
Japan,Japanese,99.85074626865672
Mexico,Spanish; Castilian,99.82768523836876
Uruguay,Spanish; Castilian,99.79939819458376
Brazil,Portuguese,99.77298524404084
Maldives,Unlisted Language,99.61464354527938
Argentina,Spanish; Castilian,99.6011964107677
Nicaragua,Spanish; Castilian,99.5
Jordan,Arabic,99.41812136325852
Ecuador,Spanish; Castilian,99.41666666666666
Tunisia,Tunisian Arabic; Tunisian,98.9202657807309
Colombia,Spanish; Castilian,98.87566137566137
Czechia,Czech,98.75
Mongolia,Mongolian,98.5958485958486
Vietnam,Vietnamese,98.5
Armenia,Armenian; Hayeren,98.44389844389843
Chile,Spanish; Castilian,98.2
Lebanon,Arabic,97.91666666666666
Greece,"Greek, Modern",97.25
Libya,Arabic,97.07357859531773
Guatemala,Spanish; Castilian,96.88269073010665
Serbia,Serbian,96.23188405797102
Northern Ireland,English,95.96412556053812
New Zealand,English,95.73229873908826
Hong Kong SAR,Cantonese,95.3734939759036
Peru,Spanish; Castilian,94.35714285714286
Macau SAR,Cantonese,93.44422700587084
United States,English,93.31013147718484
Netherlands,Unlisted Language,93.03135888501744
Russia,Russian,92.98342541436465
Great Britain,English,92.71317829457364
Puerto Rico,Spanish; Castilian,92.60908281389136
Australia,English,92.48747913188647
Germany,German,92.34293193717278
Romania,"Romanian, Moldavian, Moldovan",92.17877094972069
Slovakia,Slovak,92.16666666666666
Myanmar,Burmese,89.91666666666667
Bolivia,Spanish; Castilian,88.32364341085271
Morocco,Arabic,86.58333333333333
Uzbekistan,Uzbek,85.44
Tajikistan,Tajik,84.75
Iraq,Arabic,83.91666666666666
Zimbabwe,Shona; chiShona,81.9753086419753
China,Other Chinese dialects,75.64441506939855
Kyrgyzstan,Kirghiz; Kyrgyz,70.91666666666666
Canada,English,70.059731209557
Iran,Persian; Farsi; Dari,60.814419225634175
Ukraine,Ukrainian,59.59595959595959
Malaysia,Malay; Malaysian,59.02513328255903
India,Hindi,54.99704316972206
Kazakhstan,Kazakh,53.13479623824452
Cyprus,"Greek, Modern",50.35035035035035
Taiwan,Standard Chinese; Mandarin; Putonghua; Guoyu,48.65085854456255
Taiwan,Hokkien; Minnan,47.83319705641864
Cyprus,Turkish,45.64564564564565
Ethiopia,Amharic,43.170731707317074
Pakistan,"Punjabi, Panjabi",42.62788365095286
Singapore,English,42.59443339960239
Thailand,Thai; Central Thai,42.13333333333333
Kazakhstan,Russian,40.673981191222566
Ukraine,Russian,39.23853923853924
Philippines,Filipino; Pilipino,38.333333333333336
Andorra,Spanish; Castilian,36.75298804780876
Andorra,Catalan; Valencian,35.3585657370518
Singapore,Standard Chinese; Mandarin; Putonghua; Guoyu,34.39363817097416
Nigeria,Hausa,33.81995133819951
Indonesia,Javanese,33.62527369408821
Thailand,Esan,32.13333333333333
Kenya,Swahili,28.12006319115324
Indonesia,Indonesian,27.306850172036285
Philippines,Cebuano; Bisaya; Binisaya,27.250000000000004
China,Standard Chinese; Mandarin; Putonghua; Guoyu,24.35558493060145
Nigeria,Yoruba,24.087591240875916
Canada,French,23.94225983076157
Malaysia,Standard Chinese; Mandarin; Putonghua; Guoyu,20.33511043412033
Ethiopia,Oromo,17.317073170731707
Iran,Azerbaijani; Azeri,17.222963951935917
Kyrgyzstan,Russian,16.666666666666664
Pakistan,Sindhi,15.59679037111334
Iraq,Kurdish; Yezidi,14.833333333333334
Pakistan,"Pashto, Pushto",14.092276830491471
Zimbabwe,North Ndebele,13.251028806584362
Ethiopia,Other,13.089430894308943
Nigeria,Other,12.73317112733171
Kenya,Kikuyu; Gikuyu,12.480252764612953
Pakistan,Saraiki,12.337011033099298
Malaysia,English,12.26199543031226
Indonesia,Sundanese,12.23021582733813
Indonesia,Other,12.198936502971536
Nigeria,Igbo,11.51662611516626
Andorra,Portuguese,11.254980079681276
Morocco,Berber; Amazigh; Tamaziɣt,11.166666666666666
India,Telugu,10.999408633944412
India,Marathi,10.82199881726789
Kyrgyzstan,Uzbek,10.75
Tajikistan,Uzbek,10.666666666666668
Nigeria,English,10.543390105433902
Pakistan,Urdu,9.979939819458377
Philippines,Hiligaynon; Ilonggo,9.916666666666666
Kenya,Kalenjin,9.636650868878355
Bolivia,Quechua,9.39922480620155
Ethiopia,Tigrinya,9.024390243902438
Singapore,Malay; Malaysian,8.996023856858846
Thailand,Northern Thai; Lanna,8.933333333333334
Thailand,Southern Thai; Dambro; Pak Thai,8.799999999999999
Singapore,Other Chinese dialects,8.449304174950298
Kenya,"Luo, Lwo; Lwoian",8.372827804107425
India,Bengali; Bangla,8.33826138379657
Kenya,Luhya,8.056872037914692
Andorra,Other European,7.968127490039841
Kenya,Kamba,7.898894154818326
Romania,Hungarian,7.581803671189145
India,"Punjabi, Panjabi",7.451212300413957
India,Other,7.392075694855116
Ethiopia,Somali,6.747967479674796
Kenya,Somali,6.714060031595577
Slovakia,Hungarian,6.583333333333333
Ethiopia,Sidamo; Sidaama; Sidaamu Afoo,6.341463414634147
Iran,Gilaki,6.275033377837117
Puerto Rico,Other,6.144256455921639
Uzbekistan,Tajik,5.92
Iran,Kurdish; Yezidi,5.807743658210948
Great Britain,Other,5.5813953488372094
Andorra,French,5.278884462151394
Philippines,Ilocano; Ilokano; Iloko,5.25
Nigeria,Nigerian Pidgin,5.02838605028386
Kenya,Meru,4.818325434439179
Peru,Quechua,4.714285714285714
Iran,Other,4.672897196261682
Germany,Other,4.5811518324607325
Malaysia,Other,4.56968773800457
Netherlands,Other,4.529616724738676
United States,Spanish; Castilian,4.485692188708431
Thailand,Malay; Malaysian,4.333333333333334
Ethiopia,Afar,4.308943089430894
Singapore,Tamil,4.274353876739562
Philippines,Waray,4.166666666666666
Iran,Lurish; Luri; Bakhtiari,4.005340453938585
Myanmar,Other,3.833333333333333
Malaysia,Tamil,3.808073115003808
Kazakhstan,Uzbek,3.683385579937304
Uzbekistan,Russian,3.6
Andorra,Other,3.386454183266932
Tajikistan,Pamiri languages,3.333333333333333
Myanmar,Sgaw Karen; Sgaw Kayin; Karen,3.25
Kenya,Other,3.238546603475513
Kenya,Mijikenda,3.238546603475513
Thailand,Other,3.2
Kenya,Kisii,3.001579778830964
Uzbekistan,Unlisted Language,2.88
Indonesia,Balinese,2.7838598686268377
Macau SAR,Other,2.73972602739726
Macau SAR,Standard Chinese; Mandarin; Putonghua; Guoyu,2.73972602739726
Russia,Other,2.707182320441989
Northern Ireland,Other,2.690582959641256
Philippines,Bikol; Bicolano,2.666666666666667
Philippines,Sama-Bajaw,2.666666666666667
Pakistan,Other,2.657973921765296
Canada,Other,2.5883524141363865
New Zealand,Other,2.521823472356935
Libya,Berber; Amazigh; Tamaziɣt,2.508361204013378
Pakistan,Balochi,2.457372116349047
Kenya,Turkana,2.448657187993681
Serbia,Hungarian,2.318840579710145
Indonesia,Madurese,2.283390678761339
Morocco,"Hassaniyya, Klem El Bithan",2.25
Bolivia,Aymara,2.228682170542636
Taiwan,Other,2.2076860179885527
