Language,Weighted Degree
Other,235
English,143
Standard Chinese; Mandarin; Putonghua; Guoyu,105
Spanish; Castilian,102
Arabic,97
Russian,83
French,76
German,72
Hindi,66
"Punjabi, Panjabi",64
Somali,62
Cantonese,59
Filipino; Pilipino,59
Persian; Farsi; Dari,59
Malay; Malaysian,58
Indonesian,57
Japanese,57
Italian,56
Korean,53
Czech,52
Tagalog,51
Tamil,51
Bengali; Bangla,50
Urdu,50
"Greek, Modern",49
Vietnamese,49
Armenian; Hayeren,47
Marathi,47
Telugu,47
Serbian,46
Malayalam,45
Afrikaans,42
Auslan,42
Croatian,42
Danish,42
Estonian,42
Gujarati,42
Central Khmer,42
Lao,42
Maltese,42
"Sinhala, Sinhalese",42
Swedish,42
Yiddish,42
"Other local; aboriginal; tribal, community",41
Unlisted Language,26
Kazakh,25
Tajik,25
Uzbek,25
Portuguese,20
Kurdish; Yezidi,20
Turkish,19
Azerbaijani; Azeri,17
Bikol; Bicolano,17
Romblomanon,17
Blaan,17
Cebuano; Bisaya; Binisaya,17
Chavacano; Chabacano,17
Hiligaynon; Ilonggo,17
Ilocano; Ilokano; Iloko,17
Itneg,17
Kamayo,17
Kapampangan,17
Maguindanao,17
Maranao,17
Sama-Bajaw,17
Surigaonon,17
Tausug,17
Waray,17
Yakan,17
Balinese,15
Banjar,15
Batak,15
Betawi,15
Buginese/Bugis,15
Javanese,15
Lampung,15
Madurese,15
Makassarese,15
Palembang,15
Sundanese,15
Toraja-Saʼdan,15
Tatar,15
Romani; Romany,14
Kalenjin,14
Kamba,14
Kikuyu; Gikuyu,14
Kisii,14
Luhya,14
"Luo, Lwo; Lwoian",14
Maasai,14
Meru,14
Mijikenda,14
Swahili,14
Turkana,14
Ukrainian,11
Polish,11
Lezgian; Lezgi; Lezgin,11
Uighur; Uyghur,11
Hungarian,11
Other Chinese dialects,10
Turkmen,9
Slovak,9
Thai; Central Thai,9
Quechua,8
Albanian,8
Hausa,8
Igbo,8
Isoko,8
Nigerian Pidgin,8
Tiv,8
Urhobo,8
Yoruba,8
Balochi,8
Brahui,8
Kashmiri,8
"Pashto, Pushto",8
Saraiki,8
Sindhi,8
Karanga; Korekore,8
Ndau; chiNdau,8
Chitoko,8
Kalanga,8
North Ndebele,8
Shona; chiShona,8
Tonga,8
Venda; Tshivenda,8
Garifuna,7
Kaqchikel,7
Mayan languages,7
"Romanian, Moldavian, Moldovan",7
Esan,7
Northern Thai; Lanna,7
Southern Thai; Dambro; Pak Thai,7
Aymara,6
Afar,6
Amharic,6
Oromo,6
Sidamo; Sidaama; Sidaamu Afoo,6
Tigrinya,6
Gilaki,6
Lurish; Luri; Bakhtiari,6
Berber; Amazigh; Tamaziɣt,6
Catalan; Valencian,5
Other European,5
Burmese,5
Sgaw Karen; Sgaw Kayin; Karen,5
Mon,5
Shan,5
Kirghiz; Kyrgyz,5
Maori,5
Hakka Chinese,4
Hokkien; Minnan,4
Bulgarian,4
Avar; Avaric,4
Chechen,4
Guarani,3
Assyrian Neo-Aramaic,3
Mongolian,3
Pamiri languages,3
"Hassaniyya, Klem El Bithan",2
Romansh,2
Muong,2
Tunisian Arabic; Tunisian,2
