language,weighted_degree,betweenness,cluster
af,3400896,0.0,0
ar,2942581732,0.08758937691521962,0
az,9981744,0.0,2
bg,2132633528,0.0,0
bn,343839344,0.0,2
bs,790500100,0.0,0
ca,60197566,0.0,2
cs,2519693900,0.0,0
da,2192174016,0.02247191011235955,1
de,2429225324,0.0,0
el,2731658238,0.0,0
en,4113435204,0.8105209397344229,0
eo,4544672,0.0,2
es,3159117508,0.0,0
es_419,271824414,0.0,2
et,1016599262,0.0,2
eu,61403860,0.0,2
fa,2092192622,0.04417773237997957,2
fi,2421400244,0.0,1
fr,2709956800,0.0,0
he,2365480752,0.0,0
hi,161689426,0.0,2
hr,2178866668,0.0,0
hu,2600178726,0.0,0
id,2259622052,0.04468845760980593,2
is,243799904,0.0,2
it,2597236828,0.0,0
ja,124644462,0.0,2
ka,14109198,0.0,2
km,31505060,0.0,2
ko,1380329832,0.0,2
lt,211171688,0.0,2
lv,112091526,0.0,2
mk,270591458,0.0,2
ml,105741340,0.0,2
mn,3400988,0.0,2
ms,741457464,0.0,2
my,56941694,0.0,2
nl,2796109936,0.0,0
no,1730229184,0.02247191011235955,1
pl,2795523700,0.0,0
pt,2629719062,0.0,0
pt_BR,3385342570,0.02247191011235955,0
ro,3207283116,0.02247191011235955,0
ru,2248156590,0.0,0
sd,3419278,0.0,2
si,126527156,0.0,2
sk,589737418,0.0,2
sl,1035930996,0.0,0
sq,127201172,0.0,2
sr,2019971820,0.0,0
sv,2236065824,0.0,1
te,81333918,0.0,2
th,1143817920,0.0,2
tr,2736857456,0.0,0
uk,565947924,0.0,2
ur,67869234,0.0,2
vi,1569677004,0.022216547497446375,2
zh_CN,1012745784,0.022216547497446375,2
zh_TW,857424684,0.0,2
zh_ze,22868720,0.0,2
am,168512,0.0,2
ku,10833770,0.0,2
an,102384,0.0,2
es_ES,94386268,0.0,2
as,136908,0.0,2
ast,1089414,0.0,2
be,9415372,0.0,2
br,234380,0.0,0
cy,30854444,0.04443309499489275,0
en_ze,11473010,0.0,2
ga,881086,0.0,2
gd,757552,0.0,2
gl,39193744,0.0,2
hy,290066,0.0,2
ig,141080,0.0,2
kk,3556610,0.0,2
kn,2865434,0.0,2
lb,284666,0.0,2
ne,3926818,0.0,2
nn,183208,0.0,1
oc,950406,0.0,2
or,94898,0.0,2
pt_MZ,505186,0.0,2
sw,1570020,0.0,2
ta,97832198,0.02247191011235955,2
tl,56106546,0.0,2
tt,8062230,0.0,2
yue,10597322,0.0,2
mr,13410,0.0,0
