source,target,weight
ar,ab,19744
ar,aa,47
ar,af,73850
ar,ace,3307
ar,ady,565
ar,als,18478
ar,ak,238
ar,am,8850
ar,ami,694
ar,alt,1365
ar,an,44249
ar,ang,6561
ar,ary,27513
ar,arc,2381
ar,anp,1594
ar,ann,380
ar,arz,597794
ar,as,11922
ar,ast,83444
ar,avk,8081
ar,ay,3006
ar,awa,1500
ar,atj,868
ar,av,4565
ar,az,187168
ar,azb,214500
ar,ba,37434
ar,ban,11839
ar,bar,19328
ar,bat-smg,6920
ar,bcl,12010
ar,be,152046
ar,bbc,623
ar,bdr,315
ar,be-x-old,90473
ar,be-tarask,213
ar,bew,2635
ar,bg,179213
ar,bh,17758
ar,blk,1969
ar,bjn,4084
ar,bi,1646
ar,bm,1215
ar,bn,178807
ar,bo,4751
ar,bpy,15132
ar,br,56678
ar,bs,93930
ar,btm,1055
ar,bug,1981
ar,bxr,4808
ar,ca,277106
ar,cdo,19402
ar,cbk-zam,2339
ar,ce,77463
ar,ceb,138129
ar,chr,1524
ar,chy,709
ar,ckb,90752
ar,ch,794
ar,cho,25
ar,co,6790
ar,crh,9356
ar,cr,410
ar,cs,272148
ar,csb,3768
ar,cv,33553
ar,cu,1813
ar,cy,119154
ar,da,172530
ar,dag,4497
ar,de,604466
ar,diq,27058
ar,dga,285
ar,dsb,5516
ar,din,659
ar,dty,2235
ar,dz,645
ar,ee,1324
ar,dtp,1855
ar,dv,3241
ar,el,158716
ar,eml,8089
ar,en,1877617
ar,eo,212734
ar,es,670359
ar,et,110761
ar,eu,233658
ar,ext,3803
ar,fa,879115
ar,fi,250721
ar,ff,2965
ar,fat,323
ar,fiu-vro,4354
ar,fo,16569
ar,fj,2291
ar,fon,433
ar,fr,735999
ar,frr,17722
ar,frp,5479
ar,fy,56982
ar,fur,4065
ar,ga,44619
ar,gcr,2459
ar,gd,11227
ar,gag,2717
ar,gan,12556
ar,gl,137010
ar,glk,29930
ar,gn,5507
ar,gu,8718
ar,gur,266
ar,gpe,1335
ar,gv,18346
ar,guw,899
ar,got,1239
ar,gom,1535
ar,gor,1452
ar,guc,377
ar,ha,22027
ar,hak,9104
ar,haw,2596
ar,he,215534
ar,hi,75084
ar,hif,6757
ar,hr,108340
ar,ho,12
ar,hsb,13849
ar,ht,39298
ar,hu,226552
ar,hy,210208
ar,ia,23927
ar,hyw,9055
ar,hz,14
ar,id,302795
ar,iba,1350
ar,ig,12547
ar,igl,187
ar,ie,9545
ar,ik,1244
ar,ilo,20241
ar,ii,17
ar,inh,3049
ar,io,40578
ar,is,47649
ar,it,558706
ar,ja,430988
ar,iu,737
ar,jv,35382
ar,jbo,1580
ar,jam,1965
ar,ka,125232
ar,kaa,7022
ar,kab,8317
ar,kcg,1539
ar,kbd,2838
ar,kbp,1977
ar,kg,1544
ar,kge,2345
ar,ki,1858
ar,kj,14
ar,kk,98214
ar,km,6449
ar,kn,16389
ar,kl,638
ar,knc,1041
ar,ko,475748
ar,ks,5049
ar,koi,1994
ar,krc,4348
ar,ksh,2614
ar,ku,68060
ar,kr,11
ar,kv,5163
ar,kw,8052
ar,kus,88
ar,ky,29161
ar,la,86991
ar,lad,4546
ar,lb,47644
ar,lez,3637
ar,lfn,4878
ar,lbe,1504
ar,lg,1798
ar,li,11159
ar,lij,10484
ar,lld,46288
ar,lmo,31768
ar,ln,3463
ar,lo,5055
ar,lt,95897
ar,lrc,3
ar,ltg,1312
ar,lv,92271
ar,mad,1387
ar,mai,8270
ar,mdf,9338
ar,map-bms,4553
ar,mg,49805
ar,mhr,9028
ar,mi,3856
ar,mh,26
ar,min,14308
ar,mk,128009
ar,ml,59368
ar,mn,55326
ar,mnw,1479
ar,mni,3178
ar,mos,540
ar,mr,43670
ar,mrj,7234
ar,ms,157511
ar,mt,8728
ar,mwl,5490
ar,my,32034
ar,mus,11
ar,mzn,48580
ar,myv,6560
ar,nah,4727
ar,na,191
ar,nap,11507
ar,nds,22055
ar,ne,19867
ar,nds-nl,6413
ar,new,15524
ar,nia,528
ar,nl,372950
ar,ng,49
ar,nn,117140
ar,no,302201
ar,nrm,4667
ar,nov,2339
ar,nr,93
ar,nqo,684
ar,nso,4328
ar,oc,48656
ar,nv,8363
ar,ny,1490
