lang1,lang2,weight
aa,ab,549
ab,af,22434
ab,ace,8608
ace,af,5616
ab,ady,3389
ace,ady,4334
ady,af,1897
af,als,4593
af,ak,950
als,am,27472
als,alt,4396
als,ami,2039
alt,am,8225
alt,ami,445
am,ami,5011
als,an,5847
am,an,24553
alt,an,2486
ami,an,1042
an,ang,16606
ang,ary,712
ang,arc,550
arc,ary,6978
ang,anp,8183
anp,arc,321
anp,ary,156
ang,ann,3160
ann,ary,60
ann,arc,159
ann,anp,3053
arz,as,2188
as,ast,5946
ast,avk,2805
ast,ay,911
ast,awa,568
awa,ay,3753
avk,ay,4485
ast,atj,1153
ast,av,5165
atj,av,2152
av,awa,2176
atj,avk,862
atj,awa,436
atj,ay,498
av,avk,10377
av,ay,2833
avk,awa,2285
ast,az,199
av,az,1704
ay,az,3935
avk,az,7022
awa,az,1767
az,azb,4480
azb,ba,12110
ba,ban,19978
ban,bar,11522
ban,bat-smg,2718
bar,bat-smg,19475
bat-smg,bcl,26781
bat-smg,be,5864
bcl,be,23349
bat-smg,bbc,2662
bbc,bcl,4153
bat-smg,bdr,733
bbc,bdr,514
bcl,bdr,1961
bbc,be,212
bdr,be,127
be,be-x-old,1062
be-x-old,bew,4971
be-x-old,bg,221
bew,bg,573
bg,bh,9546
bh,blk,5789
bh,bjn,11776
bjn,blk,8182
bh,bi,6434
bh,bm,4063
bi,bjn,6493
bi,blk,2563
bi,bm,6606
bjn,bm,6619
blk,bm,2323
bh,bn,796
bi,bn,1774
bjn,bn,2712
blk,bn,1411
bm,bn,1357
bn,bo,10403
bo,bpy,6772
bpy,br,23896
br,bs,4437
bs,btm,3787
bs,bug,1331
btm,bug,522
bug,bxr,5291
bug,ca,447
bxr,ca,5495
ca,cdo,2735
ca,cbk-zam,1276
cbk-zam,cdo,11432
cdo,ce,2728
ce,ceb,1328
ceb,chr,303
ceb,chy,216
ceb,ckb,549
ceb,ch,296
ch,chr,4809
ch,chy,3282
chr,chy,5204
ceb,cho,35
ch,cho,353
cho,chy,248
chr,ckb,3861
ch,ckb,1341
chy,ckb,1967
cho,chr,338
cho,ckb,130
ckb,co,10167
ckb,crh,8400
co,crh,11992
ckb,cr,664
co,cr,4563
ckb,cs,43
cr,crh,2584
crh,cs,17934
co,cs,1307
cr,cs,8
cs,csb,4347
cs,cv,1527
csb,cv,14070
cs,cu,2975
csb,cu,8041
cu,cv,3179
cv,cy,11595
cy,da,2622
da,dag,3131
da,de,423
de,diq,949
de,dga,80
dga,diq,451
de,dsb,91
diq,dsb,21349
dga,din,501
dga,dsb,81
din,diq,2460
din,dsb,417
dsb,dty,6625
dsb,dz,3273
dty,dz,2015
dsb,dtp,3535
dsb,ee,5491
dtp,ee,1134
dsb,dv,7780
dtp,dv,3067
dtp,dz,1042
dv,dz,5141
dv,ee,6606
dz,ee,5063
dty,ee,2913
dtp,dty,4061
dty,dv,7294
dsb,el,759
dty,el,627
ee,el,1396
dtp,el,374
dz,el,1366
dv,el,5909
el,eml,3170
eml,en,12715
en,eo,225
eo,es,261
es,et,832
et,eu,1047
eu,ext,2818
eu,fa,1356
ext,fa,1928
fa,fi,39134
fa,ff,665
ff,fi,1501
fat,fi,110
fat,ff,647
fi,fiu-vro,2168
fi,fo,2311
fi,fj,1147
fj,fo,12720
fiu-vro,fj,12787
fiu-vro,fo,34544
fo,fon,2393
fr,frp,1447
fr,frr,1861
frp,frr,25689
frr,fy,11501
frr,fur,18014
fur,fy,21075
fy,ga,17812
ga,gcr,1449
ga,gd,3253
gcr,gd,26144
ga,gag,6743
ga,gan,9569
gan,gcr,20358
gan,gd,36703
gag,gcr,3671
gag,gd,6881
gag,gan,11170
ga,gl,285
gag,gl,1211
gan,gl,18667
gd,gl,38585
gcr,gl,12911
gl,glk,1334
glk,gn,2756
gn,gu,14132
gn,gpe,1830
gn,gur,501
gn,guw,1043
gn,gv,4957
gpe,gur,1172
gpe,guw,714
gpe,gv,515
gur,guw,713
gur,gv,498
guw,gv,1542
gn,gom,5288
gn,got,8989
gom,got,2990
gom,gu,9707
got,gu,6637
gn,gor,7928
gor,gu,10877
gn,guc,1090
gu,guc,1746
gom,gpe,1175
gpe,gu,2406
got,guc,732
gu,guw,5686
gu,gv,13493
gom,gv,1471
got,gv,2326
gor,got,1907
gor,gv,5468
gom,gor,2890
gom,gur,610
gom,guw,1340
gor,gur,414
gor,guw,959
got,gur,204
got,guw,780
gu,gur,1116
gor,gpe,1097
got,gpe,1018
gom,guc,406
guc,gv,922
gor,guc,611
gpe,guc,320
guc,gur,107
guc,guw,293
gv,ha,11690
ha,hak,20145
ha,haw,6295
hak,haw,14564
ha,he,1922
hak,he,10608
haw,he,1478
he,hi,2686
hi,hif,21855
hif,hr,11991
hif,ho,185
ho,hr,11
hr,hsb,8609
hsb,ht,12600
ht,hu,3239
hu,hy,2199
hy,ia,1157
hy,hyw,2973
hyw,ia,17912
hyw,hz,21
hz,ia,95
ia,id,3152
ia,iba,3912
iba,id,1186
id,ig,879
id,igl,32
ig,igl,1420
id,ie,2902
ie,ig,12849
id,ik,281
ie,ik,4889
ig,ik,5327
ie,ilo,7696
ig,ilo,9545
ik,ilo,5774
ie,igl,160
igl,ik,162
igl,ilo,219
ie,ii,182
ii,ik,306
ig,ii,266
igl,ii,17
ii,ilo,133
ilo,inh,14297
ilo,io,9832
inh,io,10963
io,is,8820
is,it,3660
iu,ja,432
ja,jv,4140
ja,jam,1986
ja,jbo,856
jam,jbo,5892
jam,jv,9081
jbo,jv,11780
jv,ka,5640
ka,kaa,4037
kaa,kab,20238
kaa,kcg,3106
kab,kcg,5270
kaa,kbd,6856
kaa,kbp,7172
kbp,kcg,5902
kaa,kg,3167
kaa,kge,3246
kaa,ki,2361
kab,kbd,9400
kab,kbp,10229
kab,kg,6226
kab,kge,6292
kab,ki,5007
kbd,kbp,6201
kbd,kcg,2445
