Id,Label,timeset,modularity_class,indegree,outdegree,Degree,giantcomponent,weighted indegree,weighted outdegree,Weighted Degree,latitude,longitude
ar,Arabic,,1,16,356,372,0,9169911,22130878,31300789,24.7,46.7
arz,Egyptian Arabic,,1,16,356,372,0,5950902,12680883,18631785,30,31.2
ceb,Cebuano,,0,16,358,374,0,8760355,16441995,25202350,10.3,123.9
de,German,,1,16,362,378,0,11680357,25725087,37405444,52.5,13.4
en,English,,1,16,363,379,0,20366380,43716247,64082627,51.5,-0.1
es,Spanish,,1,16,360,376,0,11654573,26639552,38294125,40.4,-3.7
fr,French,,1,16,362,378,0,13019968,30090681,43110649,48.85,2.35
it,Italian,,1,16,361,377,0,10694533,24974976,35669509,41.9,12.5
ja,Japanese,,1,16,362,378,0,6611721,16938230,23549951,35.7,139.7
nl,Dutch,,0,16,360,376,0,10319051,22403192,32722243,52.4,4.9
pl,Portuguese,,1,16,359,375,0,9516432,22680309,32196741,38.7,-9.1
ru,Russian,,1,16,358,374,0,10791388,25536599,36327987,55.75,37.6
sv,Swedish,,0,16,365,381,0,12807180,25311423,38118603,59.3,18.1
uk,Ukrainian,,1,16,358,374,0,8907520,23169557,32077077,50.45,30.5
vi,Vietnamese,,0,16,360,376,0,7743902,18476922,26220824,21,105.8
war,Waray,,0,16,358,374,0,6109524,11761436,17870960,11.2,125
zh,Chinese,,1,16,361,377,0,9060159,22602668,31662827,39.9,116.4
